 TERM	 COLLEGE	 DEPARTMENT	 CRN	 SUBJ	 NUM	 SECT	 TITLE	 SCHEDULE	 ENROLLMENT
 Summer 2012	 Liberal Arts & Sciences	 Linguistics	 36877	 SPAN	 460	 FD4	 Principles of Language Testing	 Online	 2
 Summer 2012	 Liberal Arts & Sciences	 Mathematics	 37099	 MATH	 348	 ONL	 Fundamental Mathematics-ACP	 Online	 2
 Summer 2012	 Liberal Arts & Sciences	 Mathematics	 36389	 MATH	 402	 OCE	 Non Euclidean Geometry	 Online	 3
 Summer 2012	 Liberal Arts & Sciences	 Mathematics	 36390	 MATH	 402	 ONL	 Non Euclidean Geometry	 Online	 5
 Summer 2012	 Liberal Arts & Sciences	 Mathematics	 36941	 MATH	 403	 OCE	 Euclidean Geometry	 Online	 2
 Summer 2012	 Liberal Arts & Sciences	 Mathematics	 37101	 MATH	 403	 ONL	 Euclidean Geometry	 Online	 3
 Summer 2012	 Liberal Arts & Sciences	 Mathematics	 31859	 MATH	 461	 EGR	 Probability Theory	 Online	 2
 Summer 2012	 Liberal Arts & Sciences	 Political Science	 36372	 PS	 199	 JTW	 Legal Externship	 Online	 10
 Summer 2012	 Liberal Arts & Sciences	 Political Science	 36326	 PS	 200	 ON2	 Foundations of Pol Sci	 Online	 14
 Summer 2012	 Liberal Arts & Sciences	 Political Science	 36328	 PS	 225	 ON2	 Environmental Politics &Policy	 Online	 13
 Summer 2012	 Liberal Arts & Sciences	 Political Science	 36329	 PS	 240	 ONL	 Intro to Comp Politics	 Online	 31
 Summer 2012	 Liberal Arts & Sciences	 Political Science	 36333	 PS	 280	 ONL	 Intro to Intl Relations	 Online	 23
 Summer 2012	 Liberal Arts & Sciences	 Political Science	 36371	 PS	 305	 JTW	 The US Supreme Court	 Online	 26
 Summer 2012	 Liberal Arts & Sciences	 Political Science	 37078	 PS	 305	 OCE	 The US Supreme Court	 Online	 2
 Summer 2012	 Liberal Arts & Sciences	 Psychology	 31257	 PSYC	 100	 ON1	 Intro Psych	 Online	 45
 Summer 2012	 Liberal Arts & Sciences	 Psychology	 36976	 PSYC	 100	 ONL	 Intro Psych	 Online	 1
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35080	 PHIL	 110	 ADA	 World Religions	 Online	 4
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35082	 PHIL	 110	 ADB	 World Religions	 Online	 7
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35084	 PHIL	 110	 ADC	 World Religions	 Online	 11
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35078	 PHIL	 110	 AL1	 World Religions	 Online	 22
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35079	 RLST	 110	 ADA	 World Religions	 Online	 11
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35081	 RLST	 110	 ADB	 World Religions	 Online	 15
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35083	 RLST	 110	 ADC	 World Religions	 Online	 5
 Summer 2012	 Liberal Arts & Sciences	 Religion	 35077	 RLST	 110	 AL1	 World Religions	 Online	 31
 Summer 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 36323	 ENSU	 310	 ON2	 Renewable & Alternative Energy	 Online	 45
 Summer 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 36322	 ENSU	 310	 ONL	 Renewable & Alternative Energy	 Online	 2
 Summer 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 36940	 ESE	 320	 A	 Water Planet, Water Crisis	 Online	 26
 Summer 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 37181	 GEOL	 370	 A	 Water Planet, Water Crisis	 Online	 1
 Summer 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 36879	 IB	 100	 ONL	 Biological Sciences	 Online	 10
 Summer 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 36974	 IB	 105	 OCE	 Environmental Biology	 Online	 1
 Summer 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 36880	 IB	 105	 ONL	 Environmental Biology	 Online	 31
 Summer 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 36889	 IB	 496	 ONL	 Bioinformatics & Human Genome	 Online	 9
 Summer 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 37006	 IB	 535	 ONL	 Biology and Tech Innovation	 Online	 7
 Summer 2012	 Liberal Arts & Sciences	 School of Molecular & Cell Bio	 36346	 MCB	 150	 ONL	 Molec & Cellular Basis of Life	 Online	 54
 Summer 2012	 Liberal Arts & Sciences	 School of Molecular & Cell Bio	 36346	 MCB	 150	 ONL	 Molec & Cellular Basis of Life	 Online	 54
 Summer 2012	 Liberal Arts & Sciences	 School of Molecular & Cell Bio	 35784	 MCB	 215	 OCE	 Foundation in Mol & Cell Bio	 Online	 3
 Summer 2012	 Liberal Arts & Sciences	 School of Molecular & Cell Bio	 36347	 MCB	 215	 ONL	 Foundation in Mol & Cell Bio	 Online	 12
 Summer 2012	 Liberal Arts & Sciences	 School of Molecular & Cell Bio	 36979	 MCB	 244	 ONL	 Human Anatomy & Physiology I	 Online	 82
 Summer 2012	 Liberal Arts & Sciences	 Slavic Languages & Literature	 36914	 RUSS	 101	 A	 First-Year Russian I	 Online	 1
 Summer 2012	 Liberal Arts & Sciences	 Sociology	 36336	 SOC	 100	 ONL	 Introduction to Sociology	 Online	 84
 Summer 2012	 Liberal Arts & Sciences	 Sociology	 27292	 SOC	 400	 ONL	 Internships	 Online	 7
 Summer 2012	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 33509	 SPAN	 200	 2A	 Readings in Hispanic Texts	 Online	 6
 Summer 2012	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 37053	 SPAN	 200	 2B	 Readings in Hispanic Texts	 Online	 10
 Summer 2012	 Liberal Arts & Sciences	 Statistics	 36919	 MATH	 161	 ONL	 Statistics	 Online	 7
 Summer 2012	 Liberal Arts & Sciences	 Statistics	 36977	 STAT	 100	 OCE	 Statistics	 Online	 4
