Department	CourseNumber	Title	CRN	Type	Session	Time	Days	Location	Instructor	Credits	Gen Ed
ABE	224	ABE Principles: Soil & Water	58933	Laboratory	AB2	10:00 AM - 11:50 AM	T	248 Agricultural Engr Sciences Bld	Kalita, P	2	
ABE	224	ABE Principles: Soil & Water	58931	Lecture	AL1	10:00 AM - 10:50 AM	MWF	204 Agricultural Engr Sciences Bld	Kalita, P	2	
ABE	341	Transport Processes in ABE	57598	Lecture	MGD	08:00 AM - 08:50 AM	MWF	204 Agricultural Engr Sciences Bld	Danao, M	3	is	
ABE	361	Off-Road Machine Design	29647	Laboratory	AB1	12:00 PM - 02:50 PM	T	242 Agricultural Engr Sciences Bld	Hansen, A	3	
ABE	361	Off-Road Machine Design	29651	Lecture	AL1	02:00 PM - 02:50 PM	MW	204 Agricultural Engr Sciences Bld	Hansen, A	3	
ABE	397	Independent Study	50272	Independent Study		ARRANGED -	n.a.			1	
ABE	430	Project Management	36669	Lecture-Discussion	A	11:00 AM - 12:50 PM	R	150 Animal Sciences Laboratory	Schideman, L	2	
ABE	440	Applied Statistical Methods I	33575	Lecture	AL1	03:30 PM - 04:50 PM	TR	150 Animal Sciences Laboratory	4	
ABE	440	Applied Statistical Methods I	section closed	33576	Laboratory-Discussion	AY1	10:00 AM - 11:50 AM	W	4	
ABE	440	Applied Statistical Methods I		section open	34029	Laboratory-Discussion	AY2	06:00 PM - 07:50 PM	4	
ABE	440	Applied Statistical Methods I	Bullock, D		section open	34047	Laboratory-Discussion	AY3	4	
ABE	440	Applied Statistical Methods I	N120 Turner Hall	Bullock, D		section open	34061	Laboratory-Discussion	4	
ABE	440	Applied Statistical Methods I	W	N120 Turner Hall	Bullock, D		section closed	34085	4	
ABE	440	Applied Statistical Methods I	10:00 AM - 11:50 AM	R	N120 Turner Hall	Bullock, D		section open	4	
ABE	440	Applied Statistical Methods I	AY6	06:00 PM - 07:50 PM	W	N120 Turner Hall	Bullock, D		4	
ABE	440	Applied Statistical Methods I	Online	GAB	07:30 PM - 10:00 PM	W		Bollero, G	4	
ABE	440	Applied Statistical Methods I	60435	Online	XM	07:30 PM - 10:00 PM	W		Bollero, G	4	
ABE	455	Erosion and Sediment Control	49611	Laboratory-Discussion	AB1	01:00 PM - 02:50 PM	TR	N107 Turner Hall	Kalita, P	2	
ABE	459	Drainage and Water Management	29655	Laboratory	Lecture	A3	A3	03:00 PM - 05:50 PM	11:00 AM - 11:50 AM	W	3	undergraduate	
ABE	459	Drainage and Water Management	242 Agricultural Engr Sciences Bld	Bhattarai, R	Bhattarai, R		section open	39805	Laboratory	Lecture	3	undergraduate	
ABE	459	Drainage and Water Management	03:00 PM - 05:50 PM	11:00 AM - 11:50 AM	W	MWF	242 Agricultural Engr Sciences Bld	242 Agricultural Engr Sciences Bld	Cooke, R	Cooke, R	3	undergraduate	
ABE	463	Electrohydraulic Systems	56114	Laboratory	Lecture	TEG	TEG	01:00 PM - 02:50 PM	01:00 PM - 01:50 PM	R	MW		248 Agricultural Engr Sciences Bld	Grift, T	Grift, T	3	
ABE	466	Engineering Off-Road Vehicles	31273	Laboratory	AB1	03:00 PM - 05:50 PM	T	242 Agricultural Engr Sciences Bld	Hansen, A	3	is	
ABE	466	Engineering Off-Road Vehicles	31277	Laboratory	AB2	03:00 PM - 05:50 PM	R	242 Agricultural Engr Sciences Bld	Hansen, A	3	is	
ABE	466	Engineering Off-Road Vehicles	31280	Lecture	AL1	10:00 AM - 10:50 AM	TR	204 Agricultural Engr Sciences Bld	Hansen, A	3	is	
ABE	476	Indoor Air Quality Engineering	29660	Laboratory	AB1	03:00 PM - 04:20 PM	W	208 Agricultural Engr Sciences Bld	Zhang, Y	4	
ABE	476	Indoor Air Quality Engineering	29662	Lecture	AL1	09:00 AM - 10:20 AM	TR	242 Agricultural Engr Sciences Bld	Zhang, Y	4	
ABE	482	Package Engineering	37689	Lecture	A	12:00 PM - 12:50 PM	MWF	272 Agricultural Engr Sciences Bld	Morris, S	3	
ABE	483	Engrg Properties of Food Matls	29663	Lecture	A	03:00 PM - 04:50 PM	TR	158 Agricultural Engr Sciences Bld	Rausch, K	3	
ABE	488	Bioprocessing Biomass for Fuel	57478	Lecture	VS	01:00 PM - 02:20 PM	TR	ARR Agricultural Engr Sciences Bld	Singh, V	3	
ABE	497	Independent Study	50183	Independent Study		ARRANGED -	n.a.			1	
ABE	498	Special Topics	10169	Independent Study		ARRANGED -	n.a.			1	
ABE	501	Graduate Research I	39806	Lecture-Discussion	A	01:00 PM - 01:50 PM	F	204 Agricultural Engr Sciences Bld	Zhang, Y	1	
ABE	594	Graduate Seminar	47356	Lecture-Discussion	AL1	12:00 PM - 12:50 PM	F	204 Agricultural Engr Sciences Bld	Singh, V	0	
ABE	597	Independent Study	10174	Independent Study		ARRANGED -	n.a.			1	
ABE	598	Special Topics	60696	Lecture-Discussion	RSG	ARRANGED -	n.a.	ARR Agricultural Engr Sciences Bld	Gates, R	1	
ABE	599	Thesis Research	10177	Independent Study		ARRANGED -	n.a.			0	
ACCY	199	Undergraduate Open Seminar	10033	Independent Study		ARRANGED -	n.a.			1	
ACCY	200	Fundamentals of Accounting	29670	Lecture-Discussion	A	08:00 AM - 09:20 AM	MW	1001 Business Instructional Fac	Silhan, P	3	is	
ACCY	200	Fundamentals of Accounting	39539	Lecture-Discussion	B	11:00 AM - 12:20 PM	MW	1001 Business Instructional Fac	Silhan, P	3	is	
ACCY	201	Accounting and Accountancy I	36478	Discussion/Recitation	AD1	08:00 AM - 08:50 AM	F	2011 Business Instructional Fac	3	is	
ACCY	201	Accounting and Accountancy I	section open	36482	Discussion/Recitation	AD3	09:00 AM - 09:50 AM	F	3	is	
ACCY	201	Accounting and Accountancy I		section open	36484	Discussion/Recitation	AD4	09:00 AM - 09:50 AM	3	is	
ACCY	201	Accounting and Accountancy I	Curtis, S Huang, J		section open	36486	Discussion/Recitation	AD6	3	is	
ACCY	201	Accounting and Accountancy I	2011 Business Instructional Fac	Curtis, S Ledvora, J		section closed	36487	Discussion/Recitation	3	is	
ACCY	201	Accounting and Accountancy I	F	3057 Business Instructional Fac	Curtis, S Lin, J		section closed	36489	Discussion/Recitation	3	is	
ACCY	201	Accounting and Accountancy I	F	3009 Business Instructional Fac	Curtis, S Huang, J		section closed	36494	3	is	
ACCY	201	Accounting and Accountancy I	11:00 AM - 11:50 AM	F	2011 Business Instructional Fac	Curtis, S Ledvora, J		section closed	3	is	
ACCY	201	Accounting and Accountancy I	ADB	11:00 AM - 11:50 AM	F	3057 Business Instructional Fac	Curtis, S Lin, J		3	is	
ACCY	201	Accounting and Accountancy I	Discussion/Recitation	ADC	08:00 AM - 08:50 AM	F	3063 Business Instructional Fac	Curtis, S McNamara, S	3	is	
ACCY	201	Accounting and Accountancy I	36502	Discussion/Recitation	ADD	01:00 PM - 01:50 PM	F	3009 Business Instructional Fac	Curtis, S Stefani, M	3	is	
ACCY	201	Accounting and Accountancy I	36506	Discussion/Recitation	ADE	12:00 PM - 12:50 PM	F	2011 Business Instructional Fac	3	is	
ACCY	201	Accounting and Accountancy I	section closed	36509	Discussion/Recitation	ADF	12:00 PM - 12:50 PM	F	3	is	
ACCY	201	Accounting and Accountancy I		section closed	36516	Discussion/Recitation	ADH	09:00 AM - 09:50 AM	3	is	
ACCY	201	Accounting and Accountancy I	Curtis, S McNamara, S		section closed	36522	Discussion/Recitation	ADI	3	is	
ACCY	201	Accounting and Accountancy I	2011 Business Instructional Fac	Curtis, S Moradi, M		section closed	36526	Discussion/Recitation	3	is	
ACCY	201	Accounting and Accountancy I	F	3057 Business Instructional Fac	Curtis, S Zhao, W		section open	36536	Discussion/Recitation	3	is	
ACCY	201	Accounting and Accountancy I	F	2011 Business Instructional Fac	Curtis, S Stefani, M		section open	36538	3	is	
ACCY	201	Accounting and Accountancy I	02:00 PM - 02:50 PM	F	3057 Business Instructional Fac	Curtis, S Smigielski, M		section open	3	is	
ACCY	201	Accounting and Accountancy I	ADN	02:00 PM - 02:50 PM	F	3063 Business Instructional Fac	Curtis, S Zhao, W		3	is	
